Date,Close/Last,Open,High,Low
2022-06-30,3785.38,3785.99,3818.99,3738.67
2022-06-29,3818.83,3825.09,3836.5,3799.02
2022-06-28,3821.55,3913.0,3945.86,3820.14
2022-06-27,3900.11,3920.76,3927.72,3889.66
2022-06-24,3911.74,3821.75,3913.65,3821.75
2022-06-23,3795.73,3774.71,3802.58,3743.52
2022-06-22,3759.89,3733.89,3801.79,3717.69
2022-06-21,3764.79,3715.31,3779.65,3715.31
2022-06-17,3674.84,3665.9,3707.71,3636.87
2022-06-16,3666.77,3728.18,3728.18,3639.77
2022-06-15,3789.99,3764.05,3837.56,3722.3
2022-06-14,3735.48,3763.52,3778.18,3705.68
2022-06-13,3749.63,3838.15,3838.15,3734.3
2022-06-10,3900.86,3974.39,3974.39,3900.16
2022-06-09,4017.82,4101.65,4119.1,4017.17
2022-06-08,4115.77,4147.12,4160.14,4107.2
2022-06-07,4160.68,4096.47,4164.86,4080.19
2022-06-06,4121.43,4134.72,4168.78,4109.18
2022-06-03,4108.54,4137.57,4142.67,4098.67
2022-06-02,4176.82,4095.41,4177.51,4074.37
2022-06-01,4101.23,4149.78,4166.54,4073.85
2022-05-31,4132.15,4151.09,4168.34,4104.88
2022-05-27,4158.24,4077.43,4158.49,4077.43
2022-05-26,4057.84,3984.6,4075.14,3984.6
2022-05-25,3978.73,3929.59,3999.33,3925.03
2022-05-24,3941.48,3942.94,3955.68,3875.13
2022-05-23,3973.75,3927.02,3981.88,3909.04
2022-05-20,3901.36,3927.76,3943.42,3810.32
2022-05-19,3900.79,3899.0,3945.96,3876.58
2022-05-18,3923.68,4051.98,4051.98,3911.91
2022-05-17,4088.85,4052.0,4090.72,4033.93
2022-05-16,4008.01,4013.02,4046.46,3983.99
2022-05-13,4023.89,3963.9,4038.88,3963.9
2022-05-12,3930.08,3903.95,3964.8,3858.87
2022-05-11,3935.18,3990.08,4049.09,3928.82
2022-05-10,4001.05,4035.18,4068.82,3958.17
2022-05-09,3991.24,4081.27,4081.27,3975.48
2022-05-06,4123.34,4128.17,4157.69,4067.91
2022-05-05,4146.87,4270.43,4270.43,4106.01
2022-05-04,4300.17,4181.18,4307.66,4148.91
2022-05-03,4175.48,4159.78,4200.1,4147.08
2022-05-02,4155.38,4130.61,4169.81,4062.51
2022-04-29,4131.93,4253.75,4269.68,4124.28
2022-04-28,4287.5,4222.58,4308.45,4188.63
2022-04-27,4183.96,4186.52,4240.71,4162.9
2022-04-26,4175.2,4278.14,4278.14,4175.04
2022-04-25,4296.12,4255.34,4299.02,4200.82
2022-04-22,4271.78,4385.83,4385.83,4267.62
2022-04-21,4393.66,4489.17,4512.94,4384.47
2022-04-20,4459.45,4472.26,4488.29,4448.76
2022-04-19,4462.21,4390.63,4471.03,4390.63
2022-04-18,4391.69,4385.63,4410.31,4370.3
2022-04-14,4392.59,4449.12,4460.46,4390.77
2022-04-13,4446.59,4394.3,4453.92,4392.7
2022-04-12,4397.45,4437.59,4471.0,4381.34
2022-04-11,4412.53,4462.64,4464.35,4408.38
2022-04-08,4488.28,4494.15,4520.41,4474.6
2022-04-07,4500.21,4474.65,4521.16,4450.3
2022-04-06,4481.15,4494.17,4503.94,4450.04
2022-04-05,4525.12,4572.45,4593.45,4514.17
2022-04-04,4582.64,4547.97,4583.5,4539.21
2022-04-01,4545.86,4540.32,4548.7,4507.57
2022-03-31,4530.41,4599.02,4603.07,4530.41
2022-03-30,4602.45,4624.2,4627.77,4581.32
2022-03-29,4631.6,4602.86,4637.3,4589.66
2022-03-28,4575.52,4541.09,4575.65,4517.69
2022-03-25,4543.06,4522.91,4546.03,4501.07
2022-03-24,4520.16,4469.98,4520.58,4465.17
2022-03-23,4456.24,4493.1,4501.07,4455.81
2022-03-22,4511.61,4469.1,4522.0,4469.1
2022-03-21,4461.18,4462.4,4481.75,4424.3
2022-03-18,4463.12,4407.34,4465.4,4390.57
2022-03-17,4411.67,4345.11,4412.67,4335.65
2022-03-16,4357.86,4288.14,4358.9,4251.99
2022-03-15,4262.45,4188.82,4271.05,4187.9
2022-03-14,4173.11,4202.75,4247.57,4161.72
2022-03-11,4204.31,4279.5,4291.01,4200.49
2022-03-10,4259.52,4252.55,4268.28,4209.8
2022-03-09,4277.88,4223.1,4299.4,4223.1
2022-03-08,4170.7,4202.66,4276.94,4157.87
2022-03-07,4201.09,4327.01,4327.01,4199.85
2022-03-04,4328.87,4342.12,4342.12,4284.98
2022-03-03,4363.49,4401.31,4416.78,4345.56
2022-03-02,4386.54,4322.56,4401.48,4322.56
2022-03-01,4306.26,4363.14,4378.45,4279.54
